p1,p2,l1,l2,hard_classes,hard_a,hard_b,hard_c,hard_d,soft_a,soft_b,soft_c,soft_d
0.069,0.817,0,1,1,1,0,0,0,0.17037300000000005,0.7606269999999999,0.012627000000000005,0.056373
0.138,0.735,0,1,1,1,0,0,0,0.22843000000000002,0.63357,0.036570000000000005,0.10143
0.723,0.725,0,1,1,1,0,0,0,0.076175,0.200825,0.198825,0.524175
0.784,0.619,0,1,1,1,0,0,0,0.082296,0.133704,0.298704,0.485296
0.126,0.779,0,1,1,1,0,0,0,0.19315399999999996,0.6808460000000001,0.027845999999999996,0.098154
0.342,0.772,0,0,0,0,0,0,0,0.15002399999999996,0.507976,0.077976,0.26402400000000004
0.046,0.948,0,1,1,1,0,0,0,0.04960800000000004,0.9043919999999999,0.002392000000000002,0.043607999999999994
0.747,0.325,0,0,0,0,0,0,0,0.170775,0.082225,0.504225,0.24277500000000002
0.101,0.979,0,1,1,1,0,0,0,0.018879000000000017,0.880121,0.0021210000000000022,0.09887900000000001
0.546,0.965,1,1,3,0,0,1,0,0.015890000000000012,0.43810999999999994,0.01911000000000002,0.52689
0.906,0.791,1,0,2,0,1,0,0,0.01964599999999999,0.07435399999999998,0.18935399999999997,0.716646
0.84,0.12,0,0,0,0,0,0,0,0.14080000000000004,0.019200000000000002,0.7392,0.10079999999999999
0.244,0.213,0,0,0,0,0,0,0,0.5949720000000001,0.161028,0.192028,0.051972
0.445,0.027,1,0,2,0,1,0,0,0.5400149999999999,0.014984999999999998,0.432985,0.012015
0.347,0.407,1,0,2,0,1,0,0,0.387229,0.265771,0.20577099999999998,0.141229
0.151,0.007,0,0,0,0,0,0,0,0.843057,0.005943,0.149943,0.001057
0.221,0.452,0,0,0,0,0,0,0,0.42689200000000005,0.35210800000000003,0.12110800000000001,0.09989200000000001
0.077,0.585,1,1,3,0,0,1,0,0.383045,0.539955,0.031955000000000004,0.045044999999999995
0.249,0.704,0,0,0,0,0,0,0,0.22229600000000002,0.528704,0.073704,0.17529599999999998
0.241,0.312,0,0,0,0,0,0,0,0.522192,0.236808,0.16580799999999998,0.075192
0.822,0.359,1,0,2,0,1,0,0,0.11409800000000003,0.06390200000000001,0.526902,0.29509799999999997
0.637,0.742,0,0,0,0,0,0,0,0.093654,0.269346,0.16434600000000002,0.472654
0.679,0.87,1,1,3,0,0,1,0,0.041729999999999996,0.27926999999999996,0.08827000000000002,0.5907300000000001
0.904,0.747,1,0,2,0,1,0,0,0.024287999999999994,0.07171199999999998,0.228712,0.675288
