p1,p2,l1,l2,hard_classes,hard_a,hard_b,hard_c,hard_d,soft_a,soft_b,soft_c,soft_d
0.716,0.523,0,1,1,1,0,0,0,0.135468,0.14853200000000003,0.34153199999999995,0.374468
0.964,0.593,1,1,3,0,0,1,0,0.014652000000000014,0.021348000000000016,0.39234800000000003,0.5716519999999999
0.657,0.709,1,1,3,0,0,1,0,0.099813,0.24318699999999996,0.19118700000000002,0.465813
0.31,0.927,0,1,1,1,0,0,0,0.05036999999999996,0.63963,0.022629999999999987,0.28737
0.101,0.943,1,1,3,0,0,1,0,0.051243000000000045,0.847757,0.005757000000000005,0.095243
0.922,0.373,1,1,3,0,0,1,0,0.04890599999999998,0.029093999999999984,0.578094,0.343906
0.355,0.373,0,0,0,0,0,0,0,0.404415,0.240585,0.22258499999999998,0.132415
0.008,0.5,0,1,1,1,0,0,0,0.496,0.496,0.004,0.004
0.094,0.101,0,0,0,0,0,0,0,0.814494,0.091506,0.084506,0.009494
0.633,0.587,1,1,3,0,0,1,0,0.151571,0.21542899999999998,0.261429,0.371571
0.675,0.827,1,1,3,0,0,1,0,0.056225000000000004,0.26877499999999993,0.11677500000000003,0.558225
0.452,0.882,1,1,3,0,0,1,0,0.064664,0.48333600000000004,0.053336,0.398664
0.05,0.949,0,1,1,1,0,0,0,0.04845000000000004,0.90155,0.0025500000000000024,0.04745
0.734,0.95,1,1,3,0,0,1,0,0.013300000000000013,0.2527,0.03670000000000003,0.6972999999999999
0.276,0.032,0,0,0,0,0,0,0,0.700832,0.023168,0.267168,0.008832000000000001
0.613,0.592,1,1,3,0,0,1,0,0.157896,0.229104,0.250104,0.362896
0.058,0.537,0,0,0,0,0,0,0,0.4361459999999999,0.505854,0.026854,0.031146000000000004
0.253,0.411,0,1,1,1,0,0,0,0.43998299999999996,0.307017,0.14901699999999998,0.10398299999999999
0.177,0.905,0,1,1,1,0,0,0,0.07818499999999998,0.744815,0.016814999999999993,0.160185
